mnu^2,E0,BCK,NORM,FSD GS,FSD ES,mnu^2 unc.,E0 unc.,BCK unc.,NORM unc.,FSD GS,FSD ES,chi^2,dof,pixel
0,1.888509537,-0.001128934,0.201128031,0,0,0,5.029196301,0.000528867,0.158432594,0,0,8.776304457,15,1
0,-3.150355183,-0.0008319,0.188853142,0,0,0,5.367791743,0.000573257,0.168230918,0,0,14.18934405,15,2
0,2.139905908,-0.000911403,0.004938369,0,0,0,5.690042109,0.000580281,0.14727145,0,0,5.723030995,15,3
0,5.070899573,-0.001428226,0.028000741,0,0,0,5.736751514,0.000545269,0.148765056,0,0,9.995709007,15,4
0,-1.331182281,-0.003991719,0.17424167,0,0,0,5.056690396,0.000453441,0.159166803,0,0,18.57557697,15,5
0,1.639933229,0.000530664,0.088655787,0,0,0,5.853309104,0.000781658,0.159860045,0,0,12.03870941,15,6
0,1.808437036,-0.001127691,0.076746085,0,0,0,4.943069635,0.000513671,0.142421873,0,0,23.80639669,15,7
0,-2.000422299,0.000422508,0.232350934,0,0,0,5.758689909,0.000759974,0.180085048,0,0,13.18977594,15,8
0,-1.477937482,-4.77E-05,0.190453718,0,0,0,5.428399175,0.00069227,0.16701799,0,0,11.32601488,15,9
0,0.649134923,-0.001450324,0.085485743,0,0,0,5.903167093,0.000536795,0.163072188,0,0,19.71726499,15,10
0,-2.921585969,-7.71E-05,0.143196113,0,0,0,5.428479756,0.000643124,0.16415625,0,0,13.16170768,15,11
0,-10.92212285,-0.000861383,0.54031939,0,0,0,4.989264565,0.000549277,0.20933046,0,0,19.4476367,15,12
0,9.84238852,-4.50E-05,-0.186448294,0,0,0,6.440842562,0.000729915,0.128083553,0,0,18.98306387,15,13
0,5.874242307,0.00053234,0.025087779,0,0,0,5.359444923,0.00075012,0.140031563,0,0,14.71805657,15,14
0,5.327305908,-0.000904199,0.041837516,0,0,0,5.167429893,0.000596025,0.138725081,0,0,22.15717511,15,15
0,-0.646204658,-0.001025661,0.041376928,0,0,0,5.548182822,0.000553144,0.151283185,0,0,12.47753404,15,16
0,1.876723113,-0.000262352,0.133034125,0,0,0,5.309643807,0.000664413,0.155173697,0,0,8.433106762,15,17
0,-0.599280812,-0.000535893,0.179363072,0,0,0,5.243085653,0.000616815,0.16180694,0,0,13.72796716,15,18
0,-1.071934427,0.000495042,0.217461838,0,0,0,5.319258913,0.000725897,0.168394712,0,0,12.01061182,15,19
0,-2.330212694,-0.000858939,0.219379686,0,0,0,4.951675357,0.000549486,0.162227723,0,0,13.41217949,15,20
0,1.258707579,1.18E-05,0.072529641,0,0,0,5.411931947,0.000686181,0.150293175,0,0,17.70623114,15,21
0,-5.898289639,3.72E-05,0.416167068,0,0,0,5.457394916,0.000697248,0.200641625,0,0,11.60661183,15,22
0,-10.3136427,-0.000244743,0.436095449,0,0,0,5.73630724,0.000653705,0.216485857,0,0,20.07080699,15,23
0,6.357056566,-0.000399084,0.073097547,0,0,0,5.314505377,0.00066497,0.144740246,0,0,16.98014131,15,24
0,-3.194353558,-0.000407184,0.189760341,0,0,0,5.391646809,0.000629556,0.168566553,0,0,26.2941994,15,25
0,0.124953179,-0.00056263,0.182738994,0,0,0,5.240139078,0.000629314,0.160896559,0,0,11.37033192,15,26
0,-5.828576468,8.10E-06,0.351870051,0,0,0,5.483000964,0.000678128,0.19371726,0,0,18.20258072,15,27
0,8.06052058,7.46E-05,-0.00108677,0,0,0,5.425688916,0.000728818,0.136155441,0,0,14.32241956,15,28
0,4.438971401,-0.000325076,0.083509414,0,0,0,5.234909568,0.000646333,0.146308528,0,0,15.43800591,15,29
0,4.449305942,-0.000181999,0.074897805,0,0,0,5.124508432,0.000681797,0.141928317,0,0,13.87770745,15,30
0,9.599613179,-0.001315353,-0.097769607,0,0,0,5.470513449,0.000552836,0.124975079,0,0,12.11889448,15,31
0,-1.155649147,0.000131082,0.202072918,0,0,0,5.032198411,0.000687837,0.159560125,0,0,13.66564048,15,32
0,-4.043373775,0.000695072,0.143563078,0,0,0,5.849170105,0.000752769,0.17282813,0,0,8.303656351,15,33
0,-3.845446491,-1.88E-05,0.342991212,0,0,0,5.06965046,0.000657769,0.18026381,0,0,19.92994811,15,34
0,-3.262885921,-0.000599909,0.216456297,0,0,0,5.444360898,0.000603359,0.173531994,0,0,21.81121399,15,35
0,3.13555869,0.000354197,-0.002238961,0,0,0,5.654876056,0.000710891,0.144840956,0,0,17.26760742,15,36
0,6.535483628,-0.000720807,-0.024096893,0,0,0,5.203619589,0.000585523,0.132050428,0,0,24.84508831,15,37
0,-5.748138362,-0.00180246,0.324398817,0,0,0,4.735844531,0.000406509,0.172053788,0,0,15.15037287,15,38
0,-5.876125087,-0.000166834,0.275531079,0,0,0,5.321520951,0.000630611,0.181058387,0,0,20.84281391,15,39
0,-5.006436791,0.000455757,0.194925365,0,0,0,5.860357623,0.000726347,0.181272948,0,0,20.92005191,15,40
0,2.450892034,-0.000802761,0.037338603,0,0,0,5.401223452,0.000608012,0.144646856,0,0,11.49926798,15,41
0,-3.242552216,0.000674857,0.319927841,0,0,0,5.307947239,0.000741182,0.182728345,0,0,18.12437274,15,42
0,-6.838657759,0.000439527,0.307428881,0,0,0,6.069131174,0.000753084,0.202842964,0,0,14.68076916,15,43
0,2.729910854,0.000267633,0.123586492,0,0,0,5.486822992,0.000726167,0.156968811,0,0,15.04185525,15,44
0,-5.523602293,-0.000406335,0.341565805,0,0,0,5.818783983,0.000660707,0.200584319,0,0,13.63269825,15,45
0,8.425810801,-0.000780822,-0.021676627,0,0,0,5.031471422,0.000587429,0.12763282,0,0,26.57245514,15,46
0,3.098835052,-0.00125521,-0.006516106,0,0,0,5.967038991,0.000547006,0.150580615,0,0,14.30016481,15,47
0,2.104423528,-0.000682305,0.064103684,0,0,0,5.582297954,0.000629594,0.151915096,0,0,16.90017006,15,48
0,-2.930468234,0.000536768,0.110226339,0,0,0,6.24139923,0.000767055,0.175083955,0,0,24.98768851,15,49
0,-5.721194175,-0.000626039,0.272500852,0,0,0,5.155576098,0.00058174,0.176090803,0,0,11.91505079,15,50
0,-1.362992968,-0.000209036,0.253721746,0,0,0,5.373443803,0.000665625,0.174344292,0,0,15.89182011,15,51
0,-6.811238524,-0.000313204,0.321635711,0,0,0,5.463424635,0.000646969,0.189776005,0,0,23.76467418,15,52
0,1.982081837,0.00111711,0.106652312,0,0,0,5.538901036,0.000833829,0.154843495,0,0,25.29556864,15,53
0,2.062334737,0.000168729,0.097626102,0,0,0,5.403179909,0.00069976,0.15288914,0,0,24.37013022,15,54
0,3.334258051,-0.000760457,-0.040218845,0,0,0,5.984907188,0.000618572,0.14550918,0,0,15.03587147,15,55
0,6.383122524,0.000187205,-0.09294186,0,0,0,5.692884007,0.00070955,0.131406485,0,0,16.40605212,15,56
0,3.002451014,-0.001056895,0.079205314,0,0,0,5.318894831,0.000568099,0.148305082,0,0,15.31099,15,57
0,-2.678826469,-0.001140167,0.23703985,0,0,0,4.886290307,0.000519621,0.162685809,0,0,15.44999751,15,58
0,1.476962846,0.000430511,0.051566543,0,0,0,5.999315802,0.00076306,0.15843597,0,0,18.22672057,15,59
0,-1.753579833,-0.00402879,0.246073018,0,0,0,4.583407355,0.000450948,0.156615029,0,0,19.1714777,15,60
0,12.10949262,-0.000937867,-0.169851526,0,0,0,5.806489046,0.00062885,0.11928256,0,0,5.231105191,15,61
0,-3.672516157,-2.04E-06,0.208636109,0,0,0,5.593633748,0.000701429,0.174668351,0,0,13.25076034,15,62
0,8.744086204,-0.000465702,-0.057600779,0,0,0,5.64576091,0.000673829,0.132959224,0,0,3.506168516,15,63
0,6.185230106,-3.95E-05,0.019121377,0,0,0,5.390422621,0.000696559,0.139805601,0,0,12.53531275,15,64
0,-5.453940242,0.0011328,0.330805427,0,0,0,5.561756185,0.000794954,0.191641483,0,0,12.36082353,15,65
0,-5.37625406,-0.000140564,0.39181684,0,0,0,4.840913451,0.000634868,0.181504126,0,0,23.47908775,15,66
0,4.65856397,-0.000139281,-0.074264357,0,0,0,5.61655761,0.000647468,0.134544251,0,0,18.10495324,15,67
0,1.681519153,-0.000358167,0.044853913,0,0,0,5.376318539,0.000643644,0.146066735,0,0,14.69633388,15,68
0,3.453502257,-0.000754623,0.014002823,0,0,0,5.828453003,0.000596082,0.150841403,0,0,21.76274119,15,69
0,-10.67684399,-0.000751407,0.331772843,0,0,0,5.968941656,0.000570693,0.21072655,0,0,22.18840671,15,70
0,-1.676454535,0.001606835,0.1435597,0,0,0,5.511574224,0.000818259,0.164019808,0,0,18.37349189,15,71
0,2.063554432,-8.64E-05,0.014283104,0,0,0,5.851148748,0.000711467,0.149950828,0,0,12.96478873,15,72
0,-8.536913154,0.000757147,0.393416601,0,0,0,5.255355014,0.000733729,0.195114247,0,0,11.63082212,15,73
0,-3.808456517,-0.000125247,0.166403485,0,0,0,5.1880991,0.000630331,0.162460234,0,0,22.91125334,15,74
0,-6.38881976,-5.41E-05,0.346362658,0,0,0,4.966426746,0.000636745,0.180821259,0,0,23.97851048,15,75
0,-1.806914151,-0.000844576,0.133864254,0,0,0,5.816065449,0.000601053,0.169535333,0,0,14.84805566,15,76
0,2.311137148,-0.00081311,0.052306645,0,0,0,5.247207112,0.00058873,0.144130953,0,0,14.21715991,15,77
0,-4.215350231,-0.00027253,0.080822253,0,0,0,6.300127341,0.000670752,0.174145766,0,0,19.59236832,15,78
0,8.571006187,-0.000113759,-0.102220801,0,0,0,5.706993522,0.0007145,0.128102635,0,0,10.61798594,15,79
0,-6.206021326,0.001115723,0.393173362,0,0,0,5.212010739,0.000772081,0.191658242,0,0,13.49628675,15,80
0,6.585242436,0.001091557,-0.159437635,0,0,0,6.361027734,0.000814311,0.132530042,0,0,13.70197759,15,81
0,3.96724786,-0.00053219,0.074885831,0,0,0,5.098727781,0.000629491,0.142334109,0,0,15.3158478,15,82
0,3.120886912,7.22E-05,0.076448274,0,0,0,5.677266532,0.000728922,0.154044857,0,0,18.66165316,15,83
0,-4.292097472,0.000207699,0.166714412,0,0,0,5.748443168,0.000705048,0.174072028,0,0,8.045876702,15,84
0,4.366555894,0.000331449,0.000357292,0,0,0,5.929320343,0.000757117,0.148147447,0,0,11.32827983,15,85
0,4.881124868,-0.001465632,0.071917092,0,0,0,4.7413788,0.00048144,0.135122106,0,0,11.09470964,15,86
0,5.358455946,-0.000235441,0.080322142,0,0,0,5.352857455,0.000678638,0.147085641,0,0,22.32959012,15,87
0,-8.134792166,-0.000138892,0.549254919,0,0,0,4.668621405,0.000625828,0.19745482,0,0,23.89258864,15,88
0,-7.691758449,0.001787249,0.39686769,0,0,0,6.280352308,0.000899908,0.220551707,0,0,9.591708194,15,89
0,-3.960166154,0.000984637,0.124819079,0,0,0,5.746114975,0.000772709,0.16787634,0,0,9.559736642,15,90
0,-3.976542552,-0.000782805,0.336091879,0,0,0,5.386306269,0.000593971,0.187822602,0,0,14.83913311,15,91
0,-12.01068902,0.000814926,0.677409673,0,0,0,5.323050685,0.000738403,0.23742956,0,0,21.79247648,15,92
0,-5.655885406,-0.000246505,0.352454504,0,0,0,5.196835925,0.000624778,0.187254171,0,0,14.59151098,15,93
0,4.303673572,0.000220757,0.030105563,0,0,0,5.518006193,0.000728276,0.14445469,0,0,16.62460575,15,94
0,1.582751586,-6.64E-05,0.122930801,0,0,0,5.576444027,0.000704631,0.159242141,0,0,14.35761845,15,95
0,12.49225627,-0.000976829,-0.133261998,0,0,0,5.437452423,0.000594475,0.118490837,0,0,12.50863785,15,96
0,-9.256294866,0.000627205,0.214114614,0,0,0,6.197650511,0.000750088,0.194981315,0,0,8.24979217,15,97
0,-2.019793473,4.51E-05,0.235544258,0,0,0,5.122205581,0.00067602,0.166692779,0,0,22.22699153,15,98
0,-6.293178876,0.000508498,0.282077202,0,0,0,5.260411032,0.000699271,0.180305519,0,0,14.6918178,15,99
0,2.767892554,0.000993585,0.00251588,0,0,0,6.163016974,0.000818375,0.153854402,0,0,11.60920256,15,100
0,2.15389273,-0.000450485,0.087710138,0,0,0,5.266607789,0.000608146,0.150012069,0,0,21.80867485,15,102
0,-8.116314453,0.001499544,0.482563653,0,0,0,5.233498847,0.00081185,0.204483868,0,0,10.45071822,15,103
0,-6.35306487,-0.000624923,0.238023858,0,0,0,5.214948492,0.000578185,0.173997849,0,0,14.31206749,15,104
0,7.335323746,-0.000167593,-0.131842596,0,0,0,6.840575715,0.000756834,0.143128521,0,0,15.6404901,15,105
0,3.49424634,0.000218939,-0.031309378,0,0,0,5.608473448,0.00072344,0.138933879,0,0,16.89267104,15,106
0,-6.617925189,0.00019356,0.306443005,0,0,0,5.304989692,0.000685748,0.183907197,0,0,18.06469319,15,107
0,-3.497121532,0.000367527,0.107551823,0,0,0,6.760534018,0.00077195,0.18653057,0,0,15.09807353,15,108
0,-7.218041354,8.07E-05,0.466532152,0,0,0,5.863421005,0.000716127,0.220500748,0,0,17.00898623,15,109
0,5.616072158,0.000431715,-0.053348397,0,0,0,6.119918894,0.000785845,0.143020588,0,0,10.45013491,15,110
0,1.993264978,0.000135789,0.052513321,0,0,0,6.517001727,0.000772405,0.168356955,0,0,13.36350437,15,111
0,7.75746126,-0.000564921,-0.096138836,0,0,0,6.542601328,0.000708404,0.143517149,0,0,16.30362604,15,112
0,-8.556344533,-7.15E-07,0.246140003,0,0,0,5.428945466,0.000640207,0.182477026,0,0,8.981503467,15,114
0,-6.294405117,0.001976234,0.14454956,0,0,0,7.168257368,0.000910282,0.203349831,0,0,18.94193179,15,115
0,-1.105968955,-3.64E-05,0.107055862,0,0,0,5.247315616,0.000681886,0.152476367,0,0,24.76221467,15,116
0,4.795758488,0.000637092,-0.061845722,0,0,0,5.878096796,0.000787413,0.138208929,0,0,16.91812389,15,117
0,-5.258128756,0.000163142,0.0419321,0,0,0,6.810887754,0.000736503,0.17873486,0,0,15.68333524,15,118
0,-0.995980043,-0.000517193,0.098498417,0,0,0,5.706308743,0.000647698,0.161031884,0,0,8.77391416,15,119
