"$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],""$\Delta\chi^{2}_\text{crit,95}$"""
0.0201,0.1136,9.95
0.021,0.1136,10.25
0.0221,0.1136,10.05
0.0231,0.1136,10.05
0.0242,0.1136,10.05
0.0254,0.1136,9.95
0.0266,0.1136,9.85
0.0278,0.1136,9.85
0.0292,0.1136,9.95
0.0305,0.1136,9.75
0.032,0.1136,9.85
0.0335,0.1136,9.95
0.0351,0.1136,9.95
0.0368,0.1136,9.95
0.0385,0.1136,10.05
0.0404,0.1136,10.05
0.0423,0.1136,10.05
0.0443,0.1136,9.95
0.0464,0.1136,9.95
0.0486,0.1136,10.05
0.0509,0.1136,9.95
0.0534,0.1136,10.05
0.0559,0.1136,9.95
0.0586,0.1136,9.85
0.0614,0.1136,10.05
0.0643,0.1136,9.85
0.0673,0.1136,10.05
0.0705,0.1136,9.95
0.0739,0.1136,10.15
0.0774,0.1136,9.85
0.0811,0.1136,9.85
0.085,0.1136,10.05
0.089,0.1136,9.75
0.0933,0.1136,9.85
0.0977,0.1136,10.05
0.1024,0.1136,9.95
0.1072,0.1136,9.95
0.1123,0.1136,9.95
0.1177,0.1136,10.05
0.1233,0.1136,9.75
0.1292,0.1136,9.95
0.1353,0.1136,10.05
0.1417,0.1136,10.05
0.1485,0.1136,10.15
0.1556,0.1136,10.05
0.163,0.1136,9.85
0.1707,0.1136,9.85
0.1789,0.1136,9.95
0.1874,0.1136,10.05
0.1963,0.1136,10.05
0.2057,0.1136,9.95
0.2154,0.1136,9.85
0.2257,0.1136,9.95
0.2364,0.1136,9.85
0.2477,0.1136,9.85
0.2595,0.1136,9.95
0.2719,0.1136,10.05
0.2848,0.1136,9.95
0.2984,0.1136,9.95
0.3126,0.1136,10.05
0.3275,0.1136,9.95
0.343,0.1136,9.95
0.3594,0.1136,10.05
0.3765,0.1136,9.95
0.3944,0.1136,9.75
0.4132,0.1136,9.95
0.4329,0.1136,9.95
0.4535,0.1136,9.85
0.4751,0.1136,9.95
0.4977,0.1136,10.05
0.5214,0.1136,9.75
0.5462,0.1136,9.95
0.5722,0.1136,9.85
0.5995,0.1136,10.05
0.628,0.1136,9.85
0.6579,0.1136,9.75
0.6893,0.1136,9.95
0.7221,0.1136,9.75
0.7565,0.1136,9.75
0.7925,0.1136,9.55
0.8302,0.1136,9.65
0.8697,0.1136,9.55
0.9112,0.1136,9.65
0.9545,0.1136,9.65
1,0.1136,9.25
0.01,0.1196,10.05
0.0105,0.1196,9.95
0.011,0.1196,9.95
0.0115,0.1196,9.95
0.012,0.1196,9.95
0.0126,0.1196,9.95
0.0132,0.1196,10.05
0.0138,0.1196,9.85
0.0145,0.1196,10.05
0.0152,0.1196,10.05
0.0159,0.1196,10.15
0.0167,0.1196,10.05
0.0175,0.1196,9.95
0.0183,0.1196,10.05
0.0192,0.1196,10.05
0.0201,0.1196,10.05
0.021,0.1196,9.85
0.0221,0.1196,9.95
0.0231,0.1196,10.05
0.0242,0.1196,9.95
0.0254,0.1196,9.95
0.0266,0.1196,9.95
0.0278,0.1196,9.85
0.0292,0.1196,10.05
0.0305,0.1196,10.05
0.032,0.1196,9.95
0.0335,0.1196,9.95
0.0351,0.1196,9.95
0.0368,0.1196,10.05
0.0385,0.1196,10.25
0.0404,0.1196,9.85
0.0423,0.1196,9.95
0.0443,0.1196,9.95
0.0464,0.1196,10.05
0.0486,0.1196,9.95
0.0509,0.1196,9.95
0.0534,0.1196,10.05
0.0559,0.1196,10.05
0.0586,0.1196,10.05
0.0614,0.1196,10.15
0.0643,0.1196,10.05
0.0673,0.1196,9.85
0.0705,0.1196,9.85
0.0739,0.1196,9.95
0.0774,0.1196,9.95
0.0811,0.1196,10.05
0.085,0.1196,9.95
0.089,0.1196,9.85
0.0933,0.1196,9.95
0.0977,0.1196,9.95
0.1024,0.1196,10.05
0.1072,0.1196,10.05
0.1123,0.1196,10.05
0.1177,0.1196,10.05
0.1233,0.1196,9.95
0.1292,0.1196,10.25
0.1353,0.1196,10.05
0.1417,0.1196,9.85
0.1485,0.1196,9.95
0.1556,0.1196,9.85
0.163,0.1196,10.05
0.1707,0.1196,9.95
0.1789,0.1196,9.85
0.1874,0.1196,9.75
0.1963,0.1196,9.85
0.2057,0.1196,9.95
0.2154,0.1196,9.95
0.2257,0.1196,9.75
0.2364,0.1196,9.85
0.2477,0.1196,10.05
0.2595,0.1196,10.05
0.2719,0.1196,9.85
0.2848,0.1196,10.05
0.2984,0.1196,9.85
0.3126,0.1196,9.95
0.3275,0.1196,10.05
0.343,0.1196,10.05
0.3594,0.1196,9.95
0.3765,0.1196,10.05
0.3944,0.1196,10.05
0.4132,0.1196,9.95
0.4329,0.1196,9.75
0.4535,0.1196,9.95
0.4751,0.1196,9.85
0.4977,0.1196,9.85
0.5214,0.1196,9.75
0.5462,0.1196,9.85
0.5722,0.1196,9.95
0.5995,0.1196,9.85
0.628,0.1196,9.95
0.6579,0.1196,9.85
0.6893,0.1196,9.95
0.7221,0.1196,9.85
0.7565,0.1196,9.95
0.7925,0.1196,9.45
0.8302,0.1196,9.65
0.8697,0.1196,9.55
0.9112,0.1196,9.35
0.9545,0.1196,9.35
1,0.1196,9.35
0.01,0.1259,10.05
0.0105,0.1259,10.15
0.011,0.1259,9.95
0.0115,0.1259,10.15
0.012,0.1259,10.15
0.0126,0.1259,10.05
0.0132,0.1259,10.05
0.0138,0.1259,10.05
0.0145,0.1259,10.05
0.0152,0.1259,9.95
0.0159,0.1259,10.05
0.0167,0.1259,9.85
0.0175,0.1259,10.05
0.0183,0.1259,10.05
0.0192,0.1259,10.05
0.0201,0.1259,10.05
0.021,0.1259,9.95
0.0221,0.1259,10.15
0.0231,0.1259,10.05
0.0242,0.1259,9.95
0.0254,0.1259,9.95
0.0266,0.1259,9.95
