#: table_doi: 10.17182/hepdata.92323.v2/t5
#: name: Delta Chi-squared Map (two-dimensional method)
#: description: $\Delta \chi^2$ map of phase-I+II data calculated by the two-dimensional method. To be used in combination with the $\Delta \chi^2_{\text{crit},x}$ values of the two-dimensional method to generate exclusion contours at $x$% C.L. for phase-I+II data. Additional explanations are given there.
#: data_file: DeltaChisquaredValues2D.yaml
#: keyword observables: Delta Chi^2
#: keyword phrases: Delta Chi-squared Map
#: ,delta chi-squared values
$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],$\Delta\chi^{2}$
0.0221,0.1136,9.05
0.0231,0.1136,9.05
0.0242,0.1136,9.06
0.0254,0.1136,9.06
0.0266,0.1136,9.06
0.0278,0.1136,9.07
0.0292,0.1136,9.07
0.0305,0.1136,9.08
0.032,0.1136,9.08
0.0335,0.1136,9.09
0.0351,0.1136,9.1
0.0368,0.1136,9.1
0.0385,0.1136,9.11
0.0404,0.1136,9.11
0.0423,0.1136,9.12
0.0443,0.1136,9.13
0.0464,0.1136,9.14
0.0486,0.1136,9.15
0.0509,0.1136,9.15
0.0534,0.1136,9.16
0.0559,0.1136,9.17
0.0586,0.1136,9.18
0.0614,0.1136,9.2
0.0643,0.1136,9.21
0.0673,0.1136,9.22
0.0705,0.1136,9.23
0.0739,0.1136,9.24
0.0774,0.1136,9.26
0.0811,0.1136,9.27
0.085,0.1136,9.29
0.089,0.1136,9.31
0.0933,0.1136,9.32
0.0977,0.1136,9.34
0.1024,0.1136,9.36
0.1072,0.1136,9.38
0.1123,0.1136,9.4
0.1177,0.1136,9.43
0.1233,0.1136,9.45
0.1292,0.1136,9.48
0.1353,0.1136,9.51
0.1417,0.1136,9.53
0.1485,0.1136,9.57
0.1556,0.1136,9.6
0.163,0.1136,9.63
0.1707,0.1136,9.67
0.1789,0.1136,9.71
0.1874,0.1136,9.75
0.1963,0.1136,9.79
0.2057,0.1136,9.84
0.2154,0.1136,9.89
0.2257,0.1136,9.95
0.2364,0.1136,10
0.2477,0.1136,10.06
0.2595,0.1136,10.13
0.2719,0.1136,10.2
0.2848,0.1136,10.27
0.2984,0.1136,10.35
0.3126,0.1136,10.44
0.3275,0.1136,10.53
0.343,0.1136,10.63
0.3594,0.1136,10.73
0.3765,0.1136,10.84
0.3944,0.1136,10.97
0.4132,0.1136,11.1
0.4329,0.1136,11.24
0.4535,0.1136,11.39
0.4751,0.1136,11.56
0.4977,0.1136,11.73
0.5214,0.1136,11.93
0.5462,0.1136,12.14
0.5722,0.1136,12.36
0.5995,0.1136,12.61
0.628,0.1136,12.88
0.6579,0.1136,13.17
0.6893,0.1136,13.49
0.7221,0.1136,13.84
0.7565,0.1136,14.22
0.7925,0.1136,14.64
0.8302,0.1136,15.1
0.8697,0.1136,15.61
0.9112,0.1136,16.17
0.9545,0.1136,16.78
1,0.1136,16.78
0.01,0.1196,9.01
0.0105,0.1196,9.01
0.011,0.1196,9.01
0.0115,0.1196,9.01
0.012,0.1196,9.02
0.0126,0.1196,9.02
0.0132,0.1196,9.02
0.0138,0.1196,9.02
0.0145,0.1196,9.03
0.0152,0.1196,9.03
0.0159,0.1196,9.03
0.0167,0.1196,9.03
0.0175,0.1196,9.04
0.0183,0.1196,9.04
0.0192,0.1196,9.04
0.0201,0.1196,9.05
0.021,0.1196,9.05
0.0221,0.1196,9.06
0.0231,0.1196,9.06
0.0242,0.1196,9.06
0.0254,0.1196,9.07
0.0266,0.1196,9.07
0.0278,0.1196,9.08
0.0292,0.1196,9.08
0.0305,0.1196,9.09
0.032,0.1196,9.09
0.0335,0.1196,9.1
0.0351,0.1196,9.11
0.0368,0.1196,9.11
0.0385,0.1196,9.12
0.0404,0.1196,9.13
0.0423,0.1196,9.14
0.0443,0.1196,9.15
0.0464,0.1196,9.15
0.0486,0.1196,9.16
0.0509,0.1196,9.17
0.0534,0.1196,9.18
0.0559,0.1196,9.19
0.0586,0.1196,9.21
0.0614,0.1196,9.22
0.0643,0.1196,9.23
0.0673,0.1196,9.24
0.0705,0.1196,9.26
0.0739,0.1196,9.27
0.0774,0.1196,9.29
0.0811,0.1196,9.3
0.085,0.1196,9.32
0.089,0.1196,9.34
0.0933,0.1196,9.36
0.0977,0.1196,9.38
0.1024,0.1196,9.4
0.1072,0.1196,9.43
0.1123,0.1196,9.45
0.1177,0.1196,9.48
0.1233,0.1196,9.5
0.1292,0.1196,9.53
0.1353,0.1196,9.56
0.1417,0.1196,9.59
0.1485,0.1196,9.63
0.1556,0.1196,9.67
0.163,0.1196,9.71
0.1707,0.1196,9.75
0.1789,0.1196,9.79
0.1874,0.1196,9.84
0.1963,0.1196,9.89
0.2057,0.1196,9.94
0.2154,0.1196,10
0.2257,0.1196,10.06
0.2364,0.1196,10.12
0.2477,0.1196,10.19
0.2595,0.1196,10.27
0.2719,0.1196,10.35
0.2848,0.1196,10.43
0.2984,0.1196,10.52
0.3126,0.1196,10.62
0.3275,0.1196,10.72
0.343,0.1196,10.84
0.3594,0.1196,10.96
0.3765,0.1196,11.09
0.3944,0.1196,11.23
0.4132,0.1196,11.38
0.4329,0.1196,11.54
0.4535,0.1196,11.72
0.4751,0.1196,11.91
0.4977,0.1196,12.12
0.5214,0.1196,12.35
0.5462,0.1196,12.59
0.5722,0.1196,12.86
0.5995,0.1196,13.15
0.628,0.1196,13.47
0.6579,0.1196,13.81
0.6893,0.1196,14.19
0.7221,0.1196,14.61
0.7565,0.1196,15.07
0.7925,0.1196,15.57
0.8302,0.1196,16.12
0.8697,0.1196,16.74
0.9112,0.1196,17.41
0.9545,0.1196,18.17
1,0.1196,18.16
0.01,0.1259,9.01
0.0105,0.1259,9.01
0.011,0.1259,9.02
0.0115,0.1259,9.02
0.012,0.1259,9.02
0.0126,0.1259,9.02
0.0132,0.1259,9.03
0.0138,0.1259,9.03
0.0145,0.1259,9.03
0.0152,0.1259,9.03
0.0159,0.1259,9.04
0.0167,0.1259,9.04
0.0175,0.1259,9.04
0.0183,0.1259,9.05
0.0192,0.1259,9.05
0.0201,0.1259,9.05
0.021,0.1259,9.06
0.0221,0.1259,9.06
0.0231,0.1259,9.07
0.0242,0.1259,9.07
0.0254,0.1259,9.08
0.0266,0.1259,9.08
0.0278,0.1259,9.09
0.0292,0.1259,9.09
0.0305,0.1259,9.1
0.032,0.1259,9.11
0.0335,0.1259,9.11
0.0351,0.1259,9.12
0.0368,0.1259,9.13
0.0385,0.1259,9.14
0.0404,0.1259,9.14
0.0423,0.1259,9.15
0.0443,0.1259,9.16
0.0464,0.1259,9.17
0.0486,0.1259,9.18
0.0509,0.1259,9.19
0.0534,0.1259,9.2
0.0559,0.1259,9.22
0.0586,0.1259,9.23
0.0614,0.1259,9.24
0.0643,0.1259,9.26
0.0673,0.1259,9.27
0.0705,0.1259,9.29
0.0739,0.1259,9.3
0.0774,0.1259,9.32
0.0811,0.1259,9.34
0.085,0.1259,9.36
0.089,0.1259,9.38
0.0933,0.1259,9.4
0.0977,0.1259,9.42
0.1024,0.1259,9.45
0.1072,0.1259,9.47
0.1123,0.1259,9.5
0.1177,0.1259,9.53
0.1233,0.1259,9.56
0.1292,0.1259,9.59
0.1353,0.1259,9.63
0.1417,0.1259,9.66
0.1485,0.1259,9.7
0.1556,0.1259,9.74
0.163,0.1259,9.79
0.1707,0.1259,9.83
0.1789,0.1259,9.88
0.1874,0.1259,9.93
0.1963,0.1259,9.99
0.2057,0.1259,10.05
0.2154,0.1259,10.12
0.2257,0.1259,10.18
0.2364,0.1259,10.26
0.2477,0.1259,10.34
0.2595,0.1259,10.42
0.2719,0.1259,10.51
0.2848,0.1259,10.61
0.2984,0.1259,10.71
0.3126,0.1259,10.82
0.3275,0.1259,10.94
0.343,0.1259,11.07
0.3594,0.1259,11.21
0.3765,0.1259,11.36
0.3944,0.1259,11.52
0.4132,0.1259,11.7
0.4329,0.1259,11.89
0.4535,0.1259,12.1
0.4751,0.1259,12.32
0.4977,0.1259,12.56
0.5214,0.1259,12.83
0.5462,0.1259,13.12
0.5722,0.1259,13.43
0.5995,0.1259,13.77
0.628,0.1259,14.15
0.6579,0.1259,14.56
0.6893,0.1259,15.02
0.7221,0.1259,15.51
0.7565,0.1259,16.06
0.7925,0.1259,16.67
0.8302,0.1259,17.34
0.8697,0.1259,18.08
0.9112,0.1259,18.91
0.9545,0.1259,19.83
1,0.1259,19.83
0.01,0.1325,9.02
0.0105,0.1325,9.02
0.011,0.1325,9.02
0.0115,0.1325,9.02
0.012,0.1325,9.03
0.0126,0.1325,9.03
0.0132,0.1325,9.03
0.0138,0.1325,9.03
0.0145,0.1325,9.04
0.0152,0.1325,9.04
0.0159,0.1325,9.04
0.0167,0.1325,9.05
0.0175,0.1325,9.05
0.0183,0.1325,9.05
0.0192,0.1325,9.06
0.0201,0.1325,9.06
0.021,0.1325,9.07
0.0221,0.1325,9.07
0.0231,0.1325,9.08
0.0242,0.1325,9.08
0.0254,0.1325,9.09
0.0266,0.1325,9.09
0.0278,0.1325,9.1
0.0292,0.1325,9.11
