#: table_doi: 10.17182/hepdata.92323.v2/t5
#: name: Delta Chi-squared Map (two-dimensional method)
#: description: $\Delta \chi^2$ map of phase-I+II data calculated by the two-dimensional method. To be used in combination with the $\Delta \chi^2_{\text{crit},x}$ values of the two-dimensional method to generate exclusion contours at $x$% C.L. for phase-I+II data. Additional explanations are given there.
#: data_file: DeltaChisquaredValues2D.yaml
#: keyword observables: Delta Chi^2
#: keyword phrases: Delta Chi-squared Map
#: ,delta chi-squared values
$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],$\Delta\chi^{2}$
0.1123,0.1626,9.82
0.1177,0.1626,9.87
0.1233,0.1626,9.92
0.1292,0.1626,9.98
0.1353,0.1626,10.04
0.1417,0.1626,10.1
0.1485,0.1626,10.17
0.1556,0.1626,10.24
0.163,0.1626,10.32
0.1707,0.1626,10.4
0.1789,0.1626,10.49
0.1874,0.1626,10.59
0.1963,0.1626,10.69
0.2057,0.1626,10.8
0.2154,0.1626,10.92
0.2257,0.1626,11.05
0.2364,0.1626,11.18
0.2477,0.1626,11.33
0.2595,0.1626,11.49
0.2719,0.1626,11.67
0.2848,0.1626,11.86
0.2984,0.1626,12.06
0.3126,0.1626,12.28
0.3275,0.1626,12.52
0.343,0.1626,12.78
0.3594,0.1626,13.07
0.3765,0.1626,13.38
0.3944,0.1626,13.72
0.4132,0.1626,14.09
0.4329,0.1626,14.5
0.4535,0.1626,14.95
0.4751,0.1626,15.45
0.4977,0.1626,15.99
0.5214,0.1626,16.59
0.5462,0.1626,17.26
0.5722,0.1626,18
0.5995,0.1626,18.82
0.628,0.1626,19.73
0.6579,0.1626,20.76
0.6893,0.1626,21.9
0.7221,0.1626,23.19
0.7565,0.1626,24.64
0.7925,0.1626,26.28
0.8302,0.1626,28.14
0.8697,0.1626,30.26
0.9112,0.1626,32.69
0.9545,0.1626,35.48
1,0.1626,35.47
0.01,0.1711,9.04
0.0105,0.1711,9.04
0.011,0.1711,9.04
0.0115,0.1711,9.05
0.012,0.1711,9.05
0.0126,0.1711,9.06
0.0132,0.1711,9.06
0.0138,0.1711,9.06
0.0145,0.1711,9.07
0.0152,0.1711,9.07
0.0159,0.1711,9.08
0.0167,0.1711,9.08
0.0175,0.1711,9.09
0.0183,0.1711,9.1
0.0192,0.1711,9.1
0.0201,0.1711,9.11
0.021,0.1711,9.12
0.0221,0.1711,9.12
0.0231,0.1711,9.13
0.0242,0.1711,9.14
0.0254,0.1711,9.15
0.0266,0.1711,9.16
0.0278,0.1711,9.17
0.0292,0.1711,9.17
0.0305,0.1711,9.19
0.032,0.1711,9.2
0.0335,0.1711,9.21
0.0351,0.1711,9.22
0.0368,0.1711,9.23
0.0385,0.1711,9.25
0.0404,0.1711,9.26
0.0423,0.1711,9.28
0.0443,0.1711,9.29
0.0464,0.1711,9.31
0.0486,0.1711,9.33
0.0509,0.1711,9.34
0.0534,0.1711,9.36
0.0559,0.1711,9.38
0.0586,0.1711,9.41
0.0614,0.1711,9.43
0.0643,0.1711,9.45
0.0673,0.1711,9.48
0.0705,0.1711,9.51
0.0739,0.1711,9.54
0.0774,0.1711,9.57
0.0811,0.1711,9.6
0.085,0.1711,9.64
0.089,0.1711,9.68
0.0933,0.1711,9.71
0.0977,0.1711,9.76
0.1024,0.1711,9.8
0.1072,0.1711,9.85
0.1123,0.1711,9.9
0.1177,0.1711,9.95
0.1233,0.1711,10.01
0.1292,0.1711,10.07
0.1353,0.1711,10.14
0.1417,0.1711,10.21
0.1485,0.1711,10.29
0.1556,0.1711,10.37
0.163,0.1711,10.45
0.1707,0.1711,10.55
0.1789,0.1711,10.65
0.1874,0.1711,10.75
0.1963,0.1711,10.87
0.2057,0.1711,10.99
0.2154,0.1711,11.13
0.2257,0.1711,11.27
0.2364,0.1711,11.43
0.2477,0.1711,11.6
0.2595,0.1711,11.78
0.2719,0.1711,11.98
0.2848,0.1711,12.19
0.2984,0.1711,12.43
0.3126,0.1711,12.68
0.3275,0.1711,12.96
0.343,0.1711,13.26
0.3594,0.1711,13.59
0.3765,0.1711,13.95
0.3944,0.1711,14.34
0.4132,0.1711,14.78
0.4329,0.1711,15.25
0.4535,0.1711,15.78
0.4751,0.1711,16.36
0.4977,0.1711,17
0.5214,0.1711,17.71
0.5462,0.1711,18.5
0.5722,0.1711,19.38
0.5995,0.1711,20.36
0.628,0.1711,21.46
0.6579,0.1711,22.7
0.6893,0.1711,24.09
0.7221,0.1711,25.66
0.7565,0.1711,27.44
0.7925,0.1711,29.46
0.8302,0.1711,31.78
0.8697,0.1711,34.43
0.9112,0.1711,37.5
0.9545,0.1711,41.05
1,0.1711,41.04
0.01,0.1801,9.04
0.0105,0.1801,9.05
0.011,0.1801,9.05
0.0115,0.1801,9.05
0.012,0.1801,9.06
0.0126,0.1801,9.06
0.0132,0.1801,9.07
0.0138,0.1801,9.07
0.0145,0.1801,9.08
0.0152,0.1801,9.08
0.0159,0.1801,9.09
0.0167,0.1801,9.09
0.0175,0.1801,9.1
0.0183,0.1801,9.11
0.0192,0.1801,9.11
0.0201,0.1801,9.12
0.021,0.1801,9.13
0.0221,0.1801,9.13
0.0231,0.1801,9.14
0.0242,0.1801,9.15
0.0254,0.1801,9.16
0.0266,0.1801,9.17
0.0278,0.1801,9.18
0.0292,0.1801,9.19
0.0305,0.1801,9.2
0.032,0.1801,9.21
0.0335,0.1801,9.23
0.0351,0.1801,9.24
0.0368,0.1801,9.25
0.0385,0.1801,9.27
0.0404,0.1801,9.28
0.0423,0.1801,9.3
0.0443,0.1801,9.32
0.0464,0.1801,9.33
0.0486,0.1801,9.35
0.0509,0.1801,9.37
0.0534,0.1801,9.4
0.0559,0.1801,9.42
0.0586,0.1801,9.44
0.0614,0.1801,9.47
0.0643,0.1801,9.5
0.0673,0.1801,9.52
0.0705,0.1801,9.55
0.0739,0.1801,9.59
0.0774,0.1801,9.62
0.0811,0.1801,9.66
0.085,0.1801,9.7
0.089,0.1801,9.74
0.0933,0.1801,9.78
0.0977,0.1801,9.83
0.1024,0.1801,9.88
0.1072,0.1801,9.93
0.1123,0.1801,9.98
0.1177,0.1801,10.04
0.1233,0.1801,10.11
0.1292,0.1801,10.18
0.1353,0.1801,10.25
0.1417,0.1801,10.33
0.1485,0.1801,10.41
0.1556,0.1801,10.5
0.163,0.1801,10.6
0.1707,0.1801,10.7
0.1789,0.1801,10.81
0.1874,0.1801,10.93
0.1963,0.1801,11.06
0.2057,0.1801,11.2
0.2154,0.1801,11.35
0.2257,0.1801,11.52
0.2364,0.1801,11.69
0.2477,0.1801,11.88
0.2595,0.1801,12.09
0.2719,0.1801,12.32
0.2848,0.1801,12.56
0.2984,0.1801,12.83
0.3126,0.1801,13.12
0.3275,0.1801,13.43
0.343,0.1801,13.78
0.3594,0.1801,14.16
0.3765,0.1801,14.58
0.3944,0.1801,15.03
0.4132,0.1801,15.54
0.4329,0.1801,16.09
0.4535,0.1801,16.71
0.4751,0.1801,17.39
0.4977,0.1801,18.14
0.5214,0.1801,18.98
0.5462,0.1801,19.92
0.5722,0.1801,20.97
0.5995,0.1801,22.14
0.628,0.1801,23.47
0.6579,0.1801,24.96
0.6893,0.1801,26.65
0.7221,0.1801,28.57
0.7565,0.1801,30.76
0.7925,0.1801,33.27
0.8302,0.1801,36.16
0.8697,0.1801,39.5
0.9112,0.1801,43.39
0.9545,0.1801,47.95
1,0.1801,47.94
0.01,0.1896,9.05
0.0105,0.1896,9.05
0.011,0.1896,9.06
0.0115,0.1896,9.06
0.012,0.1896,9.06
0.0126,0.1896,9.07
0.0132,0.1896,9.07
0.0138,0.1896,9.08
0.0145,0.1896,9.08
0.0152,0.1896,9.09
0.0159,0.1896,9.1
0.0167,0.1896,9.1
0.0175,0.1896,9.11
0.0183,0.1896,9.11
0.0192,0.1896,9.12
0.0201,0.1896,9.13
0.021,0.1896,9.14
0.0221,0.1896,9.15
0.0231,0.1896,9.15
0.0242,0.1896,9.16
0.0254,0.1896,9.17
0.0266,0.1896,9.18
0.0278,0.1896,9.2
0.0292,0.1896,9.21
0.0305,0.1896,9.22
0.032,0.1896,9.23
0.0335,0.1896,9.24
0.0351,0.1896,9.26
0.0368,0.1896,9.27
0.0385,0.1896,9.29
0.0404,0.1896,9.31
0.0423,0.1896,9.32
0.0443,0.1896,9.34
0.0464,0.1896,9.36
0.0486,0.1896,9.38
0.0509,0.1896,9.41
0.0534,0.1896,9.43
0.0559,0.1896,9.45
0.0586,0.1896,9.48
0.0614,0.1896,9.51
0.0643,0.1896,9.54
0.0673,0.1896,9.57
0.0705,0.1896,9.6
0.0739,0.1896,9.64
0.0774,0.1896,9.67
0.0811,0.1896,9.71
0.085,0.1896,9.75
0.089,0.1896,9.8
0.0933,0.1896,9.85
0.0977,0.1896,9.9
0.1024,0.1896,9.95
0.1072,0.1896,10.01
0.1123,0.1896,10.07
0.1177,0.1896,10.14
0.1233,0.1896,10.21
0.1292,0.1896,10.28
0.1353,0.1896,10.36
0.1417,0.1896,10.45
0.1485,0.1896,10.54
0.1556,0.1896,10.64
0.163,0.1896,10.75
0.1707,0.1896,10.87
0.1789,0.1896,10.99
0.1874,0.1896,11.13
0.1963,0.1896,11.27
0.2057,0.1896,11.43
0.2154,0.1896,11.59
0.2257,0.1896,11.78
0.2364,0.1896,11.98
0.2477,0.1896,12.19
0.2595,0.1896,12.43
0.2719,0.1896,12.68
0.2848,0.1896,12.96
0.2984,0.1896,13.26
0.3126,0.1896,13.59
0.3275,0.1896,13.95
0.343,0.1896,14.35
0.3594,0.1896,14.79
0.3765,0.1896,15.27
0.3944,0.1896,15.79
0.4132,0.1896,16.38
0.4329,0.1896,17.03
0.4535,0.1896,17.74
0.4751,0.1896,18.54
0.4977,0.1896,19.43
0.5214,0.1896,20.42
0.5462,0.1896,21.53
0.5722,0.1896,22.78
0.5995,0.1896,24.18
0.628,0.1896,25.78
0.6579,0.1896,27.58
0.6893,0.1896,29.63
0.7221,0.1896,31.98
0.7565,0.1896,34.69
0.7925,0.1896,37.8
0.8302,0.1896,41.42
0.8697,0.1896,45.65
0.9112,0.1896,50.63
0.9545,0.1896,56.52
1,0.1896,56.51
0.01,0.1995,9.05
0.0105,0.1995,9.06
0.011,0.1995,9.06
0.0115,0.1995,9.07
0.012,0.1995,9.07
0.0126,0.1995,9.08
0.0132,0.1995,9.08
0.0138,0.1995,9.09
0.0145,0.1995,9.09
0.0152,0.1995,9.1
0.0159,0.1995,9.1
0.0167,0.1995,9.11
0.0175,0.1995,9.12
0.0183,0.1995,9.12
0.0192,0.1995,9.13
0.0201,0.1995,9.14
0.021,0.1995,9.15
0.0221,0.1995,9.16
0.0231,0.1995,9.17
0.0242,0.1995,9.18
0.0254,0.1995,9.19
0.0266,0.1995,9.2
0.0278,0.1995,9.21
0.0292,0.1995,9.22
0.0305,0.1995,9.24
0.032,0.1995,9.25
0.0335,0.1995,9.26
0.0351,0.1995,9.28
0.0368,0.1995,9.29
0.0385,0.1995,9.31
0.0404,0.1995,9.33
0.0423,0.1995,9.35
0.0443,0.1995,9.37
0.0464,0.1995,9.39
0.0486,0.1995,9.41
0.0509,0.1995,9.44
0.0534,0.1995,9.46
0.0559,0.1995,9.49
0.0586,0.1995,9.52
0.0614,0.1995,9.55
0.0643,0.1995,9.58
0.0673,0.1995,9.61
0.0705,0.1995,9.65
0.0739,0.1995,9.69
0.0774,0.1995,9.73
0.0811,0.1995,9.77
0.085,0.1995,9.81
0.089,0.1995,9.86
0.0933,0.1995,9.92
0.0977,0.1995,9.97
0.1024,0.1995,10.03
0.1072,0.1995,10.09
0.1123,0.1995,10.16
0.1177,0.1995,10.23
0.1233,0.1995,10.31
0.1292,0.1995,10.39
0.1353,0.1995,10.48
0.1417,0.1995,10.58
0.1485,0.1995,10.68
0.1556,0.1995,10.79
0.163,0.1995,10.91
0.1707,0.1995,11.04
0.1789,0.1995,11.18
0.1874,0.1995,11.32
0.1963,0.1995,11.49
0.2057,0.1995,11.66
0.2154,0.1995,11.85
0.2257,0.1995,12.05
0.2364,0.1995,12.28
0.2477,0.1995,12.52
0.2595,0.1995,12.78
0.2719,0.1995,13.07
0.2848,0.1995,13.38
0.2984,0.1995,13.73
0.3126,0.1995,14.1
0.3275,0.1995,14.51
0.343,0.1995,14.97
0.3594,0.1995,15.47
0.3765,0.1995,16.02
0.3944,0.1995,16.63
0.4132,0.1995,17.3
0.4329,0.1995,18.05
0.4535,0.1995,18.89
0.4751,0.1995,19.82
0.4977,0.1995,20.86
0.5214,0.1995,22.03
0.5462,0.1995,23.34
0.5722,0.1995,24.83
0.5995,0.1995,26.51
0.628,0.1995,28.42
0.6579,0.1995,30.6
0.6893,0.1995,33.1
0.7221,0.1995,35.98
0.7565,0.1995,39.31
0.7925,0.1995,43.2
0.8302,0.1995,47.75
0.8697,0.1995,53.12
0.9112,0.1995,59.52
0.9545,0.1995,67.2
1,0.1995,67.18
0.01,0.21,9.06
0.0105,0.21,9.06
0.011,0.21,9.07
0.0115,0.21,9.07
0.012,0.21,9.08
0.0126,0.21,9.08
0.0132,0.21,9.09
0.0138,0.21,9.09
0.0145,0.21,9.1
0.0152,0.21,9.1
0.0159,0.21,9.11
0.0167,0.21,9.12
0.0175,0.21,9.13
0.0183,0.21,9.13
0.0192,0.21,9.14
0.0201,0.21,9.15
0.021,0.21,9.16
0.0221,0.21,9.17
0.0231,0.21,9.18
0.0242,0.21,9.19
0.0254,0.21,9.2
0.0266,0.21,9.21
0.0278,0.21,9.23
0.0292,0.21,9.24
0.0305,0.21,9.25
0.032,0.21,9.27
0.0335,0.21,9.28
0.0351,0.21,9.3
0.0368,0.21,9.32
0.0385,0.21,9.33
0.0404,0.21,9.35
0.0423,0.21,9.37
0.0443,0.21,9.39
0.0464,0.21,9.42
0.0486,0.21,9.44
0.0509,0.21,9.47
0.0534,0.21,9.49
0.0559,0.21,9.52
0.0586,0.21,9.55
0.0614,0.21,9.58
0.0643,0.21,9.62
0.0673,0.21,9.66
0.0705,0.21,9.69
0.0739,0.21,9.74
0.0774,0.21,9.78
0.0811,0.21,9.83
0.085,0.21,9.87
0.089,0.21,9.93
0.0933,0.21,9.98
0.0977,0.21,10.04
0.1024,0.21,10.11
0.1072,0.21,10.18
0.1123,0.21,10.25
0.1177,0.21,10.33
0.1233,0.21,10.41
0.1292,0.21,10.51
0.1353,0.21,10.6
0.1417,0.21,10.71
0.1485,0.21,10.82
0.1556,0.21,10.94
0.163,0.21,11.07
0.1707,0.21,11.21
0.1789,0.21,11.37
0.1874,0.21,11.53
0.1963,0.21,11.71
0.2057,0.21,11.9
0.2154,0.21,12.11
0.2257,0.21,12.34
0.2364,0.21,12.59
0.2477,0.21,12.86
0.2595,0.21,13.15
0.2719,0.21,13.48
0.2848,0.21,13.83
0.2984,0.21,14.22
0.3126,0.21,14.64
0.3275,0.21,15.11
0.343,0.21,15.63
0.3594,0.21,16.2
0.3765,0.21,16.83
0.3944,0.21,17.52
0.4132,0.21,18.3
0.4329,0.21,19.17
0.4535,0.21,20.13
0.4751,0.21,21.22
0.4977,0.21,22.44
0.5214,0.21,23.81
0.5462,0.21,25.36
0.5722,0.21,27.12
0.5995,0.21,29.12
0.628,0.21,31.41
0.6579,0.21,34.04
0.6893,0.21,37.08
0.7221,0.21,40.61
0.7565,0.21,44.72
0.7925,0.21,49.57
0.8302,0.21,55.31
0.8697,0.21,62.16
0.9112,0.21,70.43
0.9545,0.21,80.51
1,0.21,80.49
0.01,0.221,9.06
0.0105,0.221,9.07
0.011,0.221,9.07
0.0115,0.221,9.08
0.012,0.221,9.08
0.0126,0.221,9.09
0.0132,0.221,9.09
0.0138,0.221,9.1
0.0145,0.221,9.11
0.0152,0.221,9.11
0.0159,0.221,9.12
0.0167,0.221,9.13
0.0175,0.221,9.13
0.0183,0.221,9.14
0.0192,0.221,9.15
0.0201,0.221,9.16
0.021,0.221,9.17
0.0221,0.221,9.18
0.0231,0.221,9.19
0.0242,0.221,9.2
0.0254,0.221,9.21
0.0266,0.221,9.23
0.0278,0.221,9.24
0.0292,0.221,9.25
0.0305,0.221,9.27
0.032,0.221,9.28
0.0335,0.221,9.3
0.0351,0.221,9.32
0.0368,0.221,9.33
0.0385,0.221,9.35
0.0404,0.221,9.37
0.0423,0.221,9.4
0.0443,0.221,9.42
0.0464,0.221,9.44
0.0486,0.221,9.47
0.0509,0.221,9.5
0.0534,0.221,9.52
0.0559,0.221,9.56
0.0586,0.221,9.59
0.0614,0.221,9.62
0.0643,0.221,9.66
0.0673,0.221,9.7
0.0705,0.221,9.74
0.0739,0.221,9.78
0.0774,0.221,9.83
0.0811,0.221,9.88
0.085,0.221,9.93
0.089,0.221,9.99
0.0933,0.221,10.05
0.0977,0.221,10.12
0.1024,0.221,10.19
0.1072,0.221,10.26
0.1123,0.221,10.34
0.1177,0.221,10.43
0.1233,0.221,10.52
0.1292,0.221,10.62
0.1353,0.221,10.72
0.1417,0.221,10.84
0.1485,0.221,10.96
0.1556,0.221,11.09
0.163,0.221,11.23
0.1707,0.221,11.39
0.1789,0.221,11.56
0.1874,0.221,11.74
0.1963,0.221,11.93
0.2057,0.221,12.15
0.2154,0.221,12.38
0.2257,0.221,12.63
0.2364,0.221,12.91
0.2477,0.221,13.21
0.2595,0.221,13.54
0.2719,0.221,13.9
0.2848,0.221,14.29
0.2984,0.221,14.73
0.3126,0.221,15.2
0.3275,0.221,15.73
0.343,0.221,16.31
0.3594,0.221,16.96
0.3765,0.221,17.68
0.3944,0.221,18.47
0.4132,0.221,19.36
0.4329,0.221,20.36
0.4535,0.221,21.47
0.4751,0.221,22.73
0.4977,0.221,24.14
0.5214,0.221,25.74
0.5462,0.221,27.56
0.5722,0.221,29.64
0.5995,0.221,32.02
0.628,0.221,34.75
0.6579,0.221,37.92
0.6893,0.221,41.6
0.7221,0.221,45.91
0.7565,0.221,50.99
0.7925,0.221,57.03
0.8302,0.221,64.27
0.8697,0.221,73.04
0.9112,0.221,83.78
0.9545,0.221,97.12
1,0.221,97.09
0.01,0.2326,9.07
0.0105,0.2326,9.07
0.011,0.2326,9.08
0.0115,0.2326,9.08
0.012,0.2326,9.09
0.0126,0.2326,9.09
0.0132,0.2326,9.1
0.0138,0.2326,9.1
0.0145,0.2326,9.11
0.0152,0.2326,9.12
0.0159,0.2326,9.13
0.0167,0.2326,9.13
0.0175,0.2326,9.14
0.0183,0.2326,9.15
0.0192,0.2326,9.16
0.0201,0.2326,9.17
0.021,0.2326,9.18
0.0221,0.2326,9.19
0.0231,0.2326,9.2
0.0242,0.2326,9.21
0.0254,0.2326,9.22
0.0266,0.2326,9.24
0.0278,0.2326,9.25
0.0292,0.2326,9.27
0.0305,0.2326,9.28
0.032,0.2326,9.3
0.0335,0.2326,9.32
0.0351,0.2326,9.33
0.0368,0.2326,9.35
0.0385,0.2326,9.37
0.0404,0.2326,9.39
0.0423,0.2326,9.42
0.0443,0.2326,9.44
0.0464,0.2326,9.47
0.0486,0.2326,9.49
0.0509,0.2326,9.52
0.0534,0.2326,9.55
0.0559,0.2326,9.59
0.0586,0.2326,9.62
0.0614,0.2326,9.66
0.0643,0.2326,9.7
0.0673,0.2326,9.74
0.0705,0.2326,9.78
0.0739,0.2326,9.83
0.0774,0.2326,9.88
0.0811,0.2326,9.93
0.085,0.2326,9.99
0.089,0.2326,10.05
0.0933,0.2326,10.11
0.0977,0.2326,10.18
0.1024,0.2326,10.26
0.1072,0.2326,10.34
0.1123,0.2326,10.42
0.1177,0.2326,10.52
0.1233,0.2326,10.61
0.1292,0.2326,10.72
0.1353,0.2326,10.84
0.1417,0.2326,10.96
0.1485,0.2326,11.09
0.1556,0.2326,11.23
0.163,0.2326,11.39
0.1707,0.2326,11.56
0.1789,0.2326,11.74
0.1874,0.2326,11.94
0.1963,0.2326,12.15
0.2057,0.2326,12.39
0.2154,0.2326,12.64
0.2257,0.2326,12.92
0.2364,0.2326,13.22
0.2477,0.2326,13.55
0.2595,0.2326,13.92
0.2719,0.2326,14.32
0.2848,0.2326,14.75
0.2984,0.2326,15.24
0.3126,0.2326,15.77
0.3275,0.2326,16.36
0.343,0.2326,17.02
0.3594,0.2326,17.74
0.3765,0.2326,18.55
0.3944,0.2326,19.46
0.4132,0.2326,20.47
0.4329,0.2326,21.6
0.4535,0.2326,22.88
0.4751,0.2326,24.32
0.4977,0.2326,25.95
0.5214,0.2326,27.81
0.5462,0.2326,29.94
0.5722,0.2326,32.37
0.5995,0.2326,35.18
0.628,0.2326,38.43
0.6579,0.2326,42.22
0.6893,0.2326,46.66
0.7221,0.2326,51.91
0.7565,0.2326,58.16
0.7925,0.2326,65.68
0.8302,0.2326,74.81
0.8697,0.2326,86.04
0.9112,0.2326,100.05
0.9545,0.2326,117.8
1,0.2326,117.77
0.01,0.2448,9.07
0.0105,0.2448,9.07
0.011,0.2448,9.08
0.0115,0.2448,9.08
0.012,0.2448,9.09
0.0126,0.2448,9.1
0.0132,0.2448,9.1
0.0138,0.2448,9.11
0.0145,0.2448,9.12
0.0152,0.2448,9.12
0.0159,0.2448,9.13
0.0167,0.2448,9.14
0.0175,0.2448,9.15
0.0183,0.2448,9.16
0.0192,0.2448,9.17
0.0201,0.2448,9.18
0.021,0.2448,9.19
0.0221,0.2448,9.2
0.0231,0.2448,9.21
0.0242,0.2448,9.22
0.0254,0.2448,9.23
0.0266,0.2448,9.25
0.0278,0.2448,9.26
0.0292,0.2448,9.28
0.0305,0.2448,9.29
0.032,0.2448,9.31
0.0335,0.2448,9.33
0.0351,0.2448,9.35
0.0368,0.2448,9.37
0.0385,0.2448,9.39
0.0404,0.2448,9.41
0.0423,0.2448,9.44
0.0443,0.2448,9.46
0.0464,0.2448,9.49
0.0486,0.2448,9.52
0.0509,0.2448,9.55
0.0534,0.2448,9.58
0.0559,0.2448,9.61
0.0586,0.2448,9.65
0.0614,0.2448,9.69
0.0643,0.2448,9.73
0.0673,0.2448,9.77
0.0705,0.2448,9.82
0.0739,0.2448,9.87
0.0774,0.2448,9.92
0.0811,0.2448,9.98
0.085,0.2448,10.04
0.089,0.2448,10.1
0.0933,0.2448,10.17
0.0977,0.2448,10.24
0.1024,0.2448,10.32
0.1072,0.2448,10.41
0.1123,0.2448,10.5
0.1177,0.2448,10.6
0.1233,0.2448,10.7
0.1292,0.2448,10.82
0.1353,0.2448,10.94
0.1417,0.2448,11.07
0.1485,0.2448,11.21
0.1556,0.2448,11.37
0.163,0.2448,11.53
0.1707,0.2448,11.72
0.1789,0.2448,11.91
0.1874,0.2448,12.13
0.1963,0.2448,12.36
0.2057,0.2448,12.61
0.2154,0.2448,12.89
0.2257,0.2448,13.19
0.2364,0.2448,13.52
0.2477,0.2448,13.88
0.2595,0.2448,14.28
0.2719,0.2448,14.72
0.2848,0.2448,15.2
0.2984,0.2448,15.74
0.3126,0.2448,16.33
0.3275,0.2448,16.98
0.343,0.2448,17.71
0.3594,0.2448,18.52
0.3765,0.2448,19.42
0.3944,0.2448,20.44
0.4132,0.2448,21.58
0.4329,0.2448,22.86
0.4535,0.2448,24.31
0.4751,0.2448,25.95
0.4977,0.2448,27.82
0.5214,0.2448,29.96
0.5462,0.2448,32.41
0.5722,0.2448,35.24
0.5995,0.2448,38.53
0.628,0.2448,42.36
0.6579,0.2448,46.86
0.6893,0.2448,52.18
0.7221,0.2448,58.53
0.7565,0.2448,66.18
0.7925,0.2448,75.49
0.8302,0.2448,86.97
0.8697,0.2448,101.33
0.9112,0.2448,119.62
0.9545,0.2448,143.4
1,0.2448,143.35
0.01,0.2577,9.07
0.0105,0.2577,9.08
0.011,0.2577,9.08
0.0115,0.2577,9.09
0.012,0.2577,9.09
0.0126,0.2577,9.1
0.0132,0.2577,9.11
0.0138,0.2577,9.11
0.0145,0.2577,9.12
0.0152,0.2577,9.13
0.0159,0.2577,9.13
0.0167,0.2577,9.14
0.0175,0.2577,9.15
0.0183,0.2577,9.16
0.0192,0.2577,9.17
0.0201,0.2577,9.18
0.021,0.2577,9.19
0.0221,0.2577,9.2
0.0231,0.2577,9.22
0.0242,0.2577,9.23
0.0254,0.2577,9.24
0.0266,0.2577,9.26
0.0278,0.2577,9.27
0.0292,0.2577,9.29
0.0305,0.2577,9.3
0.032,0.2577,9.32
0.0335,0.2577,9.34
0.0351,0.2577,9.36
0.0368,0.2577,9.38
0.0385,0.2577,9.4
0.0404,0.2577,9.42
0.0423,0.2577,9.45
0.0443,0.2577,9.48
0.0464,0.2577,9.5
0.0486,0.2577,9.53
0.0509,0.2577,9.56
0.0534,0.2577,9.6
0.0559,0.2577,9.63
0.0586,0.2577,9.67
0.0614,0.2577,9.71
0.0643,0.2577,9.75
0.0673,0.2577,9.8
0.0705,0.2577,9.85
0.0739,0.2577,9.9
0.0774,0.2577,9.95
0.0811,0.2577,10.01
0.085,0.2577,10.08
0.089,0.2577,10.14
0.0933,0.2577,10.22
0.0977,0.2577,10.29
0.1024,0.2577,10.38
0.1072,0.2577,10.47
0.1123,0.2577,10.56
0.1177,0.2577,10.66
0.1233,0.2577,10.78
0.1292,0.2577,10.9
0.1353,0.2577,11.03
0.1417,0.2577,11.17
0.1485,0.2577,11.32
0.1556,0.2577,11.48
0.163,0.2577,11.66
0.1707,0.2577,11.85
0.1789,0.2577,12.06
0.1874,0.2577,12.29
0.1963,0.2577,12.54
0.2057,0.2577,12.81
0.2154,0.2577,13.11
0.2257,0.2577,13.43
0.2364,0.2577,13.79
0.2477,0.2577,14.18
0.2595,0.2577,14.61
0.2719,0.2577,15.09
0.2848,0.2577,15.62
0.2984,0.2577,16.2
0.3126,0.2577,16.84
0.3275,0.2577,17.56
0.343,0.2577,18.36
0.3594,0.2577,19.26
0.3765,0.2577,20.26
0.3944,0.2577,21.38
0.4132,0.2577,22.65
0.4329,0.2577,24.08
0.4535,0.2577,25.71
0.4751,0.2577,27.56
0.4977,0.2577,29.68
0.5214,0.2577,32.11
0.5462,0.2577,34.92
0.5722,0.2577,38.18
0.5995,0.2577,41.98
0.628,0.2577,46.45
0.6579,0.2577,51.74
0.6893,0.2577,58.06
0.7221,0.2577,65.67
0.7565,0.2577,74.95
0.7925,0.2577,86.4
0.8302,0.2577,100.74
0.8697,0.2577,119.05
0.9112,0.2577,142.93
0.9545,0.2577,174.95
1,0.2577,174.89
0.01,0.2712,9.07
0.0105,0.2712,9.08
0.011,0.2712,9.08
0.0115,0.2712,9.09
0.012,0.2712,9.09
0.0126,0.2712,9.1
0.0132,0.2712,9.11
0.0138,0.2712,9.11
0.0145,0.2712,9.12
0.0152,0.2712,9.13
0.0159,0.2712,9.14
0.0167,0.2712,9.15
0.0175,0.2712,9.15
0.0183,0.2712,9.16
0.0192,0.2712,9.17
0.0201,0.2712,9.18
0.021,0.2712,9.19
0.0221,0.2712,9.21
0.0231,0.2712,9.22
0.0242,0.2712,9.23
0.0254,0.2712,9.24
0.0266,0.2712,9.26
0.0278,0.2712,9.27
0.0292,0.2712,9.29
0.0305,0.2712,9.31
0.032,0.2712,9.32
0.0335,0.2712,9.34
0.0351,0.2712,9.36
0.0368,0.2712,9.39
0.0385,0.2712,9.41
0.0404,0.2712,9.43
0.0423,0.2712,9.46
0.0443,0.2712,9.48
0.0464,0.2712,9.51
0.0486,0.2712,9.54
0.0509,0.2712,9.57
0.0534,0.2712,9.61
0.0559,0.2712,9.64
0.0586,0.2712,9.68
0.0614,0.2712,9.72
0.0643,0.2712,9.77
0.0673,0.2712,9.81
0.0705,0.2712,9.86
0.0739,0.2712,9.92
0.0774,0.2712,9.97
0.0811,0.2712,10.04
0.085,0.2712,10.1
0.089,0.2712,10.17
0.0933,0.2712,10.25
0.0977,0.2712,10.33
0.1024,0.2712,10.41
0.1072,0.2712,10.51
0.1123,0.2712,10.61
0.1177,0.2712,10.71
